id;episode_id;series_id;title;text;img;video_src
1;28680;93386;models zero tolerance deposit;non-volatile Grocery;models Ball;cross-platform
2;6095;15856;Salad;bypassing Causeway front-end;bypassing quantifying;Tasty Bedfordshire Director
3;82138;16094;Bacon;Incredible Steel Shoes brand;Open-architected;mobile background
4;62448;51990;EXE;parallelism;Cayman Islands Dollar transmitting plum;index Representative
5;41069;24701;Metal 24/7 navigate;Metal disintermediate redundant;Handmade Granite Soap Fantastic knowledge user;neural
6;21957;80372;Liaison;Awesome Cotton Chair Swaziland;synthesize Buckinghamshire Practical;Cordoba Oro
7;94728;77102;Division;back up;mission-critical Wyoming Rufiyaa;Customer-focused
8;80355;9602;e-business;Bahraini Dinar;reintermediate Rupiah Circle;Refined Cotton Mouse Stream
9;73855;20357;Beauty;Plastic Gorgeous;Intelligent Soft Gloves local;transmit
10;11335;29233;Lead index;Gorgeous users Investor;engage interactive visionary;Steel Rustic Steel Computer
