id;series_id;title;text;img;web_page
1;63174;Personal Loan Account;Supervisor Music Lari;Frozen USB multi-byte;compressing
2;83169;turquoise Re-engineered success;Towels distributed Rustic;Functionality;Underpass
3;73638;Global Mouse lavender;Rand Loti fault-tolerant olive;Consultant;Legacy Trinidad and Tobago Dollar system
4;66184;Books;communities Tasty Metal Shirt;Taiwan withdrawal systemic;Garden Personal Loan Account
5;23133;Tools Specialist;compressing HDD;Jewelery;Borders EXE 24/7
6;98569;Bolivia;motivating;bluetooth;mesh coherent
7;29647;Georgia fuchsia Bedfordshire;conglomeration e-commerce;Bedfordshire HTTP Refined Cotton Computer;Dynamic Ball orange
8;48827;moratorium Money Market Account;parsing;Down-sized;Sleek Intranet
9;49811;hacking Shirt;Architect;wireless Enterprise-wide Cambridgeshire;Berkshire
10;31871;hard drive;Serbian Dinar Toys Lao People's Democratic Republic;Fantastic Granite Chair;calculating
